decile,customers,avg_pred_uplift,treated_rate,control_rate,observed_uplift
10,360,0.30359763002619344,0.6966292134831461,0.45604395604395603,0.24058525743919007
9,360,0.21964435900221568,0.5888888888888889,0.49444444444444446,0.09444444444444444
8,360,0.1728087278488807,0.5396825396825397,0.3684210526315789,0.17126148705096073
7,360,0.13467913993135278,0.489010989010989,0.4157303370786517,0.07328065193233729
6,360,0.10251372559249956,0.5,0.3520408163265306,0.14795918367346939
5,360,0.07137538055742557,0.4722222222222222,0.4222222222222222,0.04999999999999999
4,360,0.041690384285750365,0.4731182795698925,0.3563218390804598,0.11679644048943272
3,360,0.010495708311847656,0.41530054644808745,0.3502824858757062,0.06501806057238124
2,360,-0.02447885690831659,0.3694581280788177,0.33121019108280253,0.0382479369960152
1,360,-0.08282978804993776,0.34946236559139787,0.3793103448275862,-0.029847979236188316
